********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[00:54:14, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedFromHeightmap.vdb'
[00:54:22, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedFromHeightmap.vdb'
[00:55:02, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedFromHeightmap.vdb'
[00:57:12, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/ImportedCity.vdb'
[00:57:47, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[00:57:48, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Planet.vdb'
[00:57:48, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Planet.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[00:58:01, Info   ]: Creating voxel database from 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[01:01:01, Info   ]: Creating empty voxel database as 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/2d-simplex-noise-413650052.vdb'
[01:01:10, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[01:01:35, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/3338D7E0.vdb'
[01:01:39, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:01:42, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/25FCCD67.vdb'
[01:01:46, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/4D1C9D86.vdb'
[01:02:47, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:02:47, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:02:47, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/3481BC16.vdb'
[01:03:32, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[01:03:40, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/68BC5144.vdb'
[01:03:42, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/3B0C8523.vdb'
[01:03:43, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/290CC077.vdb'
[01:04:03, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[01:04:03, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[01:04:03, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[01:05:39, Info   ]: Creating empty voxel database as 'C:/Users/D4AD~1/AppData/Local/Temp/DefaultCompany/ShapeshiftGame/5201FFDC.vdb'
[01:07:52, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:08:01, Info   ]: Creating empty voxel database as 'A:/!work-files/ld35/ShapeshiftGame/Assets/StreamingAssets/Cubiquity/VoxelDatabases/05672FB7.vdb'
